Province,TotalSessions,DistinctViewers,Race,MaleUsers,FemaleUsers,TotalUsers,Gender,SessionPercentage,AgeCohort,DayOfWeek,SessionDate_SA,HourOfDay,Channel,TotalDurationInSeconds,SessionStartTime_SA,Email,Social Media Handle
Mpumalanga,2,1,coloured,2,0,2,male,0.02,Adult (25-34),5,2016/02/18,9,Supersport Live Events,3.51E+09,50:00.0,Len 443@mail.com,@Len 44
Gauteng,2,1,white,2,0,2,male,0.02,Retired (55+),1,2016/02/21,18,Africa Magic,3.51E+09,46:00.0,Carter 34@abcmail.com,@Carter 3
Eastern Cape,2,1,coloured,0,2,2,female,0.02,Adult (25-34),6,2016/02/19,6,Channel O,3.51E+09,30:00.0,Minerva 372@gmail.com,@Minerva 37
Limpopo,2,1,indian_asian,2,0,2,male,0.02,Adult (25-34),4,2016/03/30,15,ICC Cricket World Cup 2011,3.51E+09,49:00.0,Michel 202@gmail.com,@Michel 20
Gauteng,2,1,black,2,0,2,male,0.02,Middle-Aged Adult (45-54),4,2016/02/03,13,DStv Events 1,3.51E+09,22:00.0,Eli 291@yahoo.com,@Eli 29
Gauteng,2,1,black,2,0,2,male,0.02,Mature Adult (35-44),2,2016/01/11,19,Africa Magic,3.51E+09,56:00.0,Stephen 151@yahoo.com,@Stephen 15
Eastern Cape,2,1,black,2,0,2,male,0.02,Adult (25-34),6,2016/01/08,22,Channel O,3.51E+09,47:00.0,Stephen 153@mail.com,@Stephen 15
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),3,2016/03/29,22,Trace TV,1.76E+09,22:00.0,Donald 221@yahoo.com,@Donald 22
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),5,2016/02/18,20,CNN,1.76E+09,11:00.0,Len 441@yahoo.com,@Len 44
Western Cape,1,1,coloured,1,0,1,male,0.01,Youth (18-24),2,2016/01/25,22,Trace TV,1.76E+09,01:00.0,Charlie 365@mailxyz.com,@Charlie 36
Western Cape,1,1,other,1,0,1,male,0.01,Youth (18-24),6,2016/03/18,10,ICC Cricket World Cup 2011,1.76E+09,30:00.0,Jacinto 252@gmail.com,@Jacinto 25
Mpumalanga,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),1,2016/01/10,9,Channel O,1.76E+09,36:00.0,Stephen 151@yahoo.com,@Stephen 15
Mpumalanga,1,1,None,1,0,1,male,0.01,Middle-Aged Adult (45-54),5,2016/03/17,15,CNN,1.76E+09,42:00.0,Wilburn 304@abcmail.com,@Wilburn 30
Gauteng,1,1,None,1,0,1,male,0.01,Youth (18-24),4,2016/03/30,13,ICC Cricket World Cup 2011,1.76E+09,57:00.0,Eli 292@gmail.com,@Eli 29
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),1,2016/01/24,21,CNN,1.76E+09,37:00.0,Earl 424@abcmail.com,@Earl 42
Mpumalanga,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),2,2016/01/18,15,SuperSport Blitz,1.76E+09,42:00.0,Brendan 452@gmail.com,@Brendan 45
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Retired (55+),3,2016/03/08,8,Cartoon Network,1.76E+09,22:00.0,Efren 132@gmail.com,@Efren 13
Limpopo,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),3,2016/03/22,1,CNN,1.76E+09,20:00.0,Chas 351@yahoo.com,@Chas 35
Western Cape,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),6,2016/02/12,20,SuperSport Blitz,1.76E+09,26:00.0,Emerson 242@gmail.com,@Emerson 24
Mpumalanga,1,1,black,1,0,1,male,0.01,Youth (18-24),4,2016/01/06,8,Trace TV,1.76E+09,52:00.0,Lucas 235@mailxyz.com,@Lucas 23
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),3,2016/01/12,22,SuperSport Blitz,1.76E+09,32:00.0,Stephen 155@mailxyz.com,@Stephen 15
Gauteng,1,1,None,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/19,10,ICC Cricket World Cup 2011,1.76E+09,40:00.0,Lane 111@yahoo.com,@Lane 11
Eastern Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),5,2016/02/11,12,Supersport Live Events,1.76E+09,02:00.0,Hugh11@yahoo.com,@Hugh1
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),3,2016/03/29,11,ICC Cricket World Cup 2011,1.76E+09,45:00.0,Michel 202@gmail.com,@Michel 20
North West,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/01/12,12,Channel O,1.76E+09,41:00.0,Eli 293@mail.com,@Eli 29
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),4,2016/03/30,15,ICC Cricket World Cup 2011,1.76E+09,56:00.0,Lucas 235@mailxyz.com,@Lucas 23
Mpumalanga,1,1,black,1,0,1,male,0.01,Youth (18-24),7,2016/02/20,8,Trace TV,1.76E+09,31:00.0,Charlie 361@yahoo.com,@Charlie 36
Western Cape,1,1,coloured,1,0,1,male,0.01,Youth (18-24),6,2016/01/15,1,SuperSport Blitz,1.76E+09,09:00.0,Abel 183@mail.com,@Abel 18
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/03/05,15,ICC Cricket World Cup 2011,1.76E+09,29:00.0,Shane 24@abcmail.com,@Shane 2
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),4,2016/03/30,21,Boomerang,1.76E+09,19:00.0,Jacinto 254@abcmail.com,@Jacinto 25
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),2,2016/02/01,19,Supersport Live Events,1.76E+09,09:00.0,Jared 505@mailxyz.com,@Jared 50
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),6,2016/02/05,18,Supersport Live Events,1.76E+09,56:00.0,Michel 205@mailxyz.com,@Michel 20
Gauteng,1,1,black,1,0,1,male,0.01,Youth (18-24),3,2016/03/08,6,Boomerang,1.76E+09,46:00.0,Kip 143@mail.com,@Kip 14
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Middle-Aged Adult (45-54),6,2016/02/19,13,Supersport Live Events,1.76E+09,51:00.0,Samuel 262@gmail.com,@Samuel 26
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/03/02,10,ICC Cricket World Cup 2011,1.76E+09,56:00.0,Haywood 91@yahoo.com,@Haywood 9
None,1,1,None,0,0,1,None,0.01,Kids (0-17),4,2016/03/02,17,SuperSport Blitz,1.76E+09,23:00.0,Eula 495@mailxyz.com,None
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),4,2016/03/30,10,SuperSport Blitz,1.76E+09,35:00.0,Garry 283@mail.com,@Garry 28
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),5,2016/01/14,12,E! Entertainment,1.76E+09,07:00.0,Lane 111@yahoo.com,@Lane 11
Western Cape,1,1,white,1,0,1,male,0.01,Adult (25-34),5,2016/03/24,18,Supersport Live Events,1.76E+09,46:00.0,Earl 422@gmail.com,@Earl 42
Eastern Cape,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),3,2016/03/22,8,Supersport Live Events,1.76E+09,57:00.0,Donald 221@yahoo.com,@Donald 22
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),3,2016/01/19,13,Supersport Live Events,1.76E+09,22:00.0,Efren 132@gmail.com,@Efren 13
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),5,2016/03/24,21,Boomerang,1.76E+09,11:00.0,Efren 133@mail.com,@Efren 13
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/01/17,15,Trace TV,1.76E+09,07:00.0,Stacy 275@mailxyz.com,@Stacy 27
Mpumalanga,1,1,black,0,1,1,female,0.01,Adult (25-34),6,2016/03/25,10,Supersport Live Events,1.76E+09,20:00.0,Roxane 285@mailxyz.com,@Roxane 28
North West,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),3,2016/02/16,14,SuperSport Blitz,1.76E+09,26:00.0,Claud 343@mail.com,@Claud 34
North West,1,1,white,1,0,1,male,0.01,Middle-Aged Adult (45-54),7,2016/01/23,11,Supersport Live Events,1.76E+09,46:00.0,Cody 121@yahoo.com,@Cody 12
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),6,2016/02/19,14,Supersport Live Events,1.76E+09,54:00.0,Garry 283@mail.com,@Garry 28
Western Cape,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),5,2016/01/21,21,CNN,1.76E+09,04:00.0,Charlie 364@abcmail.com,@Charlie 36
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),5,2016/03/24,12,Supersport Live Events,1.76E+09,46:00.0,Jacinto 251@yahoo.com,@Jacinto 25
Eastern Cape,1,1,black,1,0,1,male,0.01,Youth (18-24),4,2016/01/27,12,Supersport Live Events,1.76E+09,47:00.0,Lane 111@yahoo.com,@Lane 11
North West,1,1,black,1,0,1,male,0.01,Adult (25-34),6,2016/02/19,20,Channel O,1.76E+09,21:00.0,Jared 505@mailxyz.com,@Jared 50
Eastern Cape,1,1,black,0,1,1,female,0.01,Kids (0-17),2,2016/02/22,18,Cartoon Network,1.76E+09,20:00.0,Anette 233@mail.com,@Anette 23
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/01/16,20,Supersport Live Events,1.76E+09,11:00.0,Charlie 363@mail.com,@Charlie 36
North West,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),1,2016/02/21,10,Africa Magic,1.76E+09,08:00.0,Royal 174@abcmail.com,@Royal 17
Gauteng,1,1,black,1,0,1,male,0.01,Youth (18-24),1,2016/02/14,21,Africa Magic,1.76E+09,12:00.0,Charlie 364@abcmail.com,@Charlie 36
Mpumalanga,1,1,black,1,0,1,male,0.01,Youth (18-24),5,2016/01/14,9,Cartoon Network,1.76E+09,17:00.0,Lucas 235@mailxyz.com,@Lucas 23
Western Cape,1,1,black,1,0,1,male,0.01,Youth (18-24),3,2016/03/01,14,SuperSport Blitz,1.76E+09,10:00.0,Randy 395@mailxyz.com,@Randy 39
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Adult (25-34),5,2016/02/18,0,Cartoon Network,1.76E+09,03:00.0,Lucas 234@abcmail.com,@Lucas 23
Limpopo,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/01/02,23,Cartoon Network,1.76E+09,59:00.0,Romeo 372@gmail.com,@Romeo 37
